carrier_id,open_payable,overdue_payable,max_days_overdue,last_payment_date,payment_status,currency
C001,82206,18000,22,2026-09-04,Overdue,SAR
C002,48620,0,0,2026-08-28,Current,SAR
C003,27910,0,0,2026-08-25,Current,SAR
C004,56981,0,0,2026-08-24,Current,SAR
C005,84836,0,0,2026-08-26,Current,SAR
C006,116542,0,0,2026-08-29,Current,SAR
C007,51255,0,0,2026-08-29,Current,SAR
C008,94468,0,0,2026-08-29,Current,SAR
C009,83778,0,0,2026-08-30,Current,SAR
C010,52296,0,0,2026-09-02,Current,SAR
C011,95719,0,0,2026-08-26,Current,SAR
C012,89283,0,0,2026-08-27,Current,SAR
C013,50492,0,0,2026-08-30,Current,SAR
C014,44040,0,0,2026-09-03,Current,SAR
C015,107826,0,0,2026-09-01,Current,SAR
C016,24793,0,0,2026-08-31,Current,SAR
C017,105638,0,0,2026-08-26,Current,SAR
C018,63560,0,0,2026-08-29,Current,SAR
C019,85351,0,0,2026-08-31,Current,SAR
C020,114571,0,0,2026-08-24,Current,SAR
C021,93491,0,0,2026-08-28,Current,SAR
C022,42240,0,0,2026-08-30,Current,SAR
C023,117358,0,0,2026-08-24,Current,SAR
C024,68996,0,0,2026-08-27,Current,SAR
C025,37602,0,0,2026-08-25,Current,SAR
C026,78293,0,0,2026-08-29,Current,SAR
C027,105492,0,0,2026-09-02,Current,SAR
C028,93108,0,0,2026-09-04,Current,SAR
C029,77718,0,0,2026-08-27,Current,SAR
C030,75236,0,0,2026-09-02,Current,SAR
C031,66516,0,0,2026-09-04,Current,SAR
C032,115706,0,0,2026-08-30,Current,SAR
C033,87941,0,0,2026-08-25,Current,SAR
C034,111615,0,0,2026-08-30,Current,SAR
C035,116099,0,0,2026-08-26,Current,SAR
C036,49705,0,0,2026-09-03,Current,SAR
C037,76144,0,0,2026-08-25,Current,SAR
C038,41986,0,0,2026-09-02,Current,SAR
C039,33859,0,0,2026-09-03,Current,SAR
C040,83730,0,0,2026-08-29,Current,SAR
C041,64635,0,0,2026-09-01,Current,SAR
C042,29135,0,0,2026-08-31,Current,SAR
C043,109648,0,0,2026-08-29,Current,SAR
C044,104976,0,0,2026-08-30,Current,SAR
C045,52069,0,0,2026-08-28,Current,SAR
C046,107561,0,0,2026-09-01,Current,SAR
C047,71093,0,0,2026-09-03,Current,SAR
C048,53301,0,0,2026-08-25,Current,SAR
